 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────
        7578212 ┊      9.62% ┊ poseidon_rust::poseidon_hash::h2f1bcb5a08e58353
        1146105 ┊      1.46% ┊   ⤷ <poseidon_rust::bn254::circom_t14::POSEIDON_CIRCOM_BN_14_PARAMS as core::ops::deref::Deref>::deref::hf81fe55d33dd6d8c
         992562 ┊      1.26% ┊   ⤷ <poseidon_rust::bn254::circom_t13::POSEIDON_CIRCOM_BN_13_PARAMS as core::ops::deref::Deref>::deref::h56936e95873be603
         849787 ┊      1.08% ┊   ⤷ <poseidon_rust::bn254::circom_t12::POSEIDON_CIRCOM_BN_12_PARAMS as core::ops::deref::Deref>::deref::hd95db83231c8d2ed
         832353 ┊      1.06% ┊   ⤷ <poseidon_rust::bn254::circom_t11::POSEIDON_CIRCOM_BN_11_PARAMS as core::ops::deref::Deref>::deref::h89da217ee9cceec7
         691325 ┊      0.88% ┊   ⤷ <poseidon_rust::bn254::circom_t10::POSEIDON_CIRCOM_BN_10_PARAMS as core::ops::deref::Deref>::deref::h99dad3af7dfb647a
         640272 ┊      0.81% ┊   ⤷ <poseidon_rust::bn254::circom_t9::POSEIDON_CIRCOM_BN_9_PARAMS as core::ops::deref::Deref>::deref::h78d189c242fc4254
         569917 ┊      0.72% ┊   ⤷ <poseidon_rust::bn254::circom_t8::POSEIDON_CIRCOM_BN_8_PARAMS as core::ops::deref::Deref>::deref::h84f873c74638f10e
         485710 ┊      0.62% ┊   ⤷ <poseidon_rust::bn254::circom_t7::POSEIDON_CIRCOM_BN_7_PARAMS as core::ops::deref::Deref>::deref::hee8177ab468d7f2d
         393140 ┊      0.50% ┊   ⤷ <poseidon_rust::bn254::circom_t6::POSEIDON_CIRCOM_BN_6_PARAMS as core::ops::deref::Deref>::deref::hb983c2e952dc230d
         322332 ┊      0.41% ┊   ⤷ <poseidon_rust::bn254::circom_t5::POSEIDON_CIRCOM_BN_5_PARAMS as core::ops::deref::Deref>::deref::h0c64cd847831380a
         236983 ┊      0.30% ┊   ⤷ <poseidon_rust::bn254::circom_t4::POSEIDON_CIRCOM_BN_4_PARAMS as core::ops::deref::Deref>::deref::h99199e7d98c0aba3
         177424 ┊      0.23% ┊   ⤷ <poseidon_rust::bn254::circom_t3::POSEIDON_CIRCOM_BN_3_PARAMS as core::ops::deref::Deref>::deref::h6b22c3a90d9a3f0f
         122513 ┊      0.16% ┊   ⤷ <poseidon_rust::bn254::circom_t2::POSEIDON_CIRCOM_BN_2_PARAMS as core::ops::deref::Deref>::deref::h4a77a6f2e01f43bb
          32076 ┊      0.04% ┊   ⤷ poseidon_rust::parameters::PoseidonParams<F>::new::h417c035dbb76549e
          30380 ┊      0.04% ┊   ⤷ poseidon_rust::field_from_hex_string::hd8e642e94ffe7929
          20071 ┊      0.03% ┊   ⤷ poseidon_rust::poseidon::Poseidon<F>::permutation::hfb4daf24dde3f374
           4047 ┊      0.01% ┊   ⤷ poseidon_rust::parameters::PoseidonParams<F>::mat_vec_mul::hedfb9936248e67e0
        5592422 ┊      7.10% ┊ table[0]
        5592416 ┊      7.10% ┊   ⤷ elem[0]
         623367 ┊      0.79% ┊       ⤷ url::ParseOptions::parse::h6e3ef72ff3c2faca
         435304 ┊      0.55% ┊       ⤷ <railgun_rs::railgun::indexer::syncer::subsquid_syncer::SubsquidSyncer as railgun_rs::railgun::indexer::syncer::syncer::NoteSyncer>::sync::{{closure}}::h8d48c4fc571a183c
         257019 ┊      0.33% ┊       ⤷ railgun_rs::railgun::broadcaster::broadcaster::Broadcaster::broadcast::{{closure}}::h447dd68743014dbe
         220980 ┊      0.28% ┊       ⤷ railgun_rs::wasm::poi_provider::JsPoiProvider::new::{{closure}}::hbfb29098fdc09723
         187408 ┊      0.24% ┊       ⤷ railgun_rs::railgun::indexer::txid_indexer::TxidIndexer::sync_to::{{closure}}::h5b6e600466bfe1f8
         166424 ┊      0.21% ┊       ⤷ <eth_rpc::wasm_impl::JsEthRpcAdapter as eth_rpc::client::EthRpcClient>::get_logs::{{closure}}::hc77ba61a7c73a3d7
         165811 ┊      0.21% ┊       ⤷ <railgun_rs::railgun::indexer::syncer::rpc_syncer::RpcSyncer as railgun_rs::railgun::indexer::syncer::syncer::NoteSyncer>::sync::{{closure}}::hd5269d33f280f84e
         153074 ┊      0.19% ┊       ⤷ railgun_rs::railgun::poi::pending_poi_submitter::PendingPoiSubmitter::process::{{closure}}::ha22a8658aad49078
         147037 ┊      0.19% ┊       ⤷ wasm_bindgen_futures::future_to_promise::{{closure}}::{{closure}}::h4ff4123d0c2f2cad
