 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
        5603617 ┊      7.76% ┊ table[0]
        5603611 ┊      7.76% ┊   ⤷ elem[0]
         624999 ┊      0.87% ┊       ⤷ url::ParseOptions::parse::h6e3ef72ff3c2faca
         435304 ┊      0.60% ┊       ⤷ <railgun_rs::railgun::indexer::syncer::subsquid_syncer::SubsquidSyncer as railgun_rs::railgun::indexer::syncer::syncer::NoteSyncer>::sync::{{closure}}::he579e9b32f62c4ab
         257019 ┊      0.36% ┊       ⤷ railgun_rs::railgun::broadcaster::broadcaster::Broadcaster::broadcast::{{closure}}::he7d9683d266b5657
         220980 ┊      0.31% ┊       ⤷ railgun_rs::wasm::poi_provider::JsPoiProvider::new::{{closure}}::hde1a15354e5c2a7f
         187408 ┊      0.26% ┊       ⤷ railgun_rs::railgun::indexer::txid_indexer::TxidIndexer::sync_to::{{closure}}::h25ee88bd73f28080
         168165 ┊      0.23% ┊       ⤷ <eth_rpc::wasm_impl::JsEthRpcAdapter as eth_rpc::client::EthRpcClient>::get_logs::{{closure}}::h2668b3136dc61fb6
         165811 ┊      0.23% ┊       ⤷ <railgun_rs::railgun::indexer::syncer::rpc_syncer::RpcSyncer as railgun_rs::railgun::indexer::syncer::syncer::NoteSyncer>::sync::{{closure}}::hfa563c5368e2076c
         153074 ┊      0.21% ┊       ⤷ railgun_rs::railgun::poi::pending_poi_submitter::PendingPoiSubmitter::process::{{closure}}::h70f6ceff2a1c4f9c
         147037 ┊      0.20% ┊       ⤷ wasm_bindgen_futures::future_to_promise::{{closure}}::{{closure}}::h6d781aefb4e2a118
         140021 ┊      0.19% ┊       ⤷ railgun_rs::wasm::broadcaster::manager::JsBroadcasterManager::start::{{closure}}::h134e429b4f3fcedd
         134323 ┊      0.19% ┊       ⤷ wasm_bindgen_futures::future_to_promise::{{closure}}::{{closure}}::h0b218a21b08d9916
         114231 ┊      0.16% ┊       ⤷ wasm_bindgen_futures::future_to_promise::{{closure}}::{{closure}}::h057d8a7828af5524
         107718 ┊      0.15% ┊       ⤷ railgun_rs::railgun::poi::poi_client::PoiClient::merkle_proofs::{{closure}}::hf82812c135117449
         104207 ┊      0.14% ┊       ⤷ http::header::name::HeaderName::from_bytes::hfb1dd912530bb1a2
          96402 ┊      0.13% ┊       ⤷ railgun_rs::railgun::transaction::poi_transaction_builder::PoiTransactionBuilder::prove_poi::{{closure}}::h7bbe9327a54694d2
          94331 ┊      0.13% ┊       ⤷ <railgun_rs::railgun::indexer::syncer::subsquid_syncer::SubsquidSyncer as railgun_rs::railgun::indexer::syncer::syncer::TransactionSyncer>::sync::{{closure}}::h1b3580a6f0590bfc
          84003 ┊      0.12% ┊       ⤷ railgun_rs::railgun::transaction::transaction_builder::prove_operations::{{closure}}::h75883511f04bd361
          80769 ┊      0.11% ┊       ⤷ <railgun_rs::railgun::note::transfer::TransferNote as railgun_rs::railgun::note::EncryptableNote>::encrypt::h5236755e1677e0fe
          77395 ┊      0.11% ┊       ⤷ <railgun_rs::railgun::signer::PrivateKeySigner as railgun_rs::railgun::signer::Signer>::sign::h498bc165cc8e7f6f
