 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
      30005959 ┊    38.11% ┊ custom section '.debug_str'
      18318788 ┊    23.27% ┊ custom section '.debug_info'
       5671251 ┊     7.20% ┊ custom section '.debug_line'
       3317699 ┊     4.21% ┊ "function names" subsection
       1344698 ┊     1.71% ┊ data segment ".rodata"
       1223848 ┊     1.55% ┊ custom section '.debug_ranges'
        989867 ┊     1.26% ┊ core::ops::function::FnOnce::call_once::hc567abfc3f48f719
        857033 ┊     1.09% ┊ core::ops::function::FnOnce::call_once::h5e0f731cad8e5cdd
        733581 ┊     0.93% ┊ core::ops::function::FnOnce::call_once::h483f13bf37d3f1a9
        733394 ┊     0.93% ┊ core::ops::function::FnOnce::call_once::had1bb092914ced0f
        608668 ┊     0.77% ┊ core::ops::function::FnOnce::call_once::he74bf8054c4041e2
        572109 ┊     0.73% ┊ core::ops::function::FnOnce::call_once::h930f310a66c52c35
        514669 ┊     0.65% ┊ core::ops::function::FnOnce::call_once::h774e710afd309d94
        460128 ┊     0.58% ┊ custom section '.debug_abbrev'
        441883 ┊     0.56% ┊ core::ops::function::FnOnce::call_once::h8a5cefe42df15ffa
        427733 ┊     0.54% ┊ ark_ff::fields::models::fp::montgomery_backend::MontConfig::into_bigint::hc663e5ed34ab8e3a
        359253 ┊     0.46% ┊ core::ops::function::FnOnce::call_once::h84e8e4795b36af6d
        296901 ┊     0.38% ┊ core::ops::function::FnOnce::call_once::h647ca3c9305f6f6e
        288366 ┊     0.37% ┊ custom section '__wasm_bindgen_unstable'
        218516 ┊     0.28% ┊ core::ops::function::FnOnce::call_once::h3e7962c9df991285
        195970 ┊     0.25% ┊ <rand_chacha::chacha::ChaCha12Core as rand_core::block::BlockRngCore>::generate::h511401d14149a88e
        164436 ┊     0.21% ┊ core::ops::function::FnOnce::call_once::h3493550e32eca429
        150700 ┊     0.19% ┊ core::ops::function::FnOnce::call_once::h8d17c417c9b305be
        129991 ┊     0.17% ┊ core::ops::function::FnOnce::call_once::h2b78afbb6562dfeb
        113520 ┊     0.14% ┊ core::ops::function::FnOnce::call_once::h83d54a8537f7f9fc
        110856 ┊     0.14% ┊ core::ops::function::FnOnce::call_once::h819d87ef57e5279d
         95580 ┊     0.12% ┊ ruint::div::<impl ruint::Uint<_,_>>::div_rem_by_ref::h4c651add7db4a95c
         93234 ┊     0.12% ┊ core::ops::function::FnOnce::call_once::h17a641f010c9fe26
